 cookie=0x0, duration=5.507s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=4e:69:5f:96:39:68,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.2,nw_dst=10.50.0.36,nw_tos=0,tp_src=46738,tp_dst=80 actions=output:49
 cookie=0x0, duration=5.367s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=da:4e:09:97:37:92,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.3,nw_dst=10.50.0.10,nw_tos=0,tp_src=43324,tp_dst=80 actions=output:49
 cookie=0x0, duration=5.367s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=da:4e:09:97:37:92,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.3,nw_dst=10.50.0.8,nw_tos=0,tp_src=59780,tp_dst=80 actions=output:49
 cookie=0x0, duration=5.361s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=10,vlan_tci=0x0000/0x1fff,dl_src=ee:af:1e:de:da:bf,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.10,nw_dst=10.10.0.25,nw_tos=0,tp_src=34645,tp_dst=80 actions=output:50
 cookie=0x0, duration=5.360s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=10,vlan_tci=0x0000/0x1fff,dl_src=ee:af:1e:de:da:bf,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.10,nw_dst=10.60.0.30,nw_tos=0,tp_src=40192,tp_dst=80 actions=output:50
 cookie=0x0, duration=5.359s, table=0, n_packets=2, n_bytes=92, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=10,vlan_tci=0x0000/0x1fff,dl_src=ee:af:1e:de:da:bf,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.10,nw_dst=10.10.0.32,nw_tos=0,tp_src=52159,tp_dst=80 actions=output:50
 cookie=0x0, duration=5.358s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=10,vlan_tci=0x0000/0x1fff,dl_src=ee:af:1e:de:da:bf,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.10,nw_dst=10.10.0.33,nw_tos=0,tp_src=32867,tp_dst=80 actions=output:50
 cookie=0x0, duration=5.358s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=5,vlan_tci=0x0000/0x1fff,dl_src=da:e9:9e:8b:50:2c,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.5,nw_dst=10.60.0.37,nw_tos=0,tp_src=33938,tp_dst=80 actions=output:49
 cookie=0x0, duration=5.321s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=16,vlan_tci=0x0000/0x1fff,dl_src=96:f3:61:97:d7:57,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.16,nw_dst=10.10.0.29,nw_tos=0,tp_src=47470,tp_dst=80 actions=output:50
 cookie=0x0, duration=5.320s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=42,vlan_tci=0x0000/0x1fff,dl_src=8e:85:f4:ea:73:70,dl_dst=06:6b:d7:0f:d3:be,nw_src=10.60.0.42,nw_dst=10.20.0.44,nw_tos=0,tp_src=58326,tp_dst=80 actions=output:52
